GeneA	GeneB	Digene_Score
CASP3	CASP12	0.9739
ELOC	ERCC2	0.9739
ELOC	RPS27A	0.9739
SEM1	UBA52	0.9739
ELOC	PSMF1	0.9738
B3GNT2	MUC19	0.9737
CCL3L1	CCR6	0.9737
CD247	HLA-DRB3	0.9737
CD247	HLA-DRB4	0.9737
EIF3I	RPS4Y1	0.9737
ELOC	POLR2L	0.9737
HLA-G	KIR2DS3	0.9737
RPL10	RPS4Y1	0.9737
CDC73	ELOC	0.9736
ASB9	ELOC	0.9735
CCAR1	U2AF1L5	0.9735
CHTOP	U2AF1L5	0.9735
GSPT2	RPS4Y1	0.9735
PSMB2	SEM1	0.9735
ELOC	WDR61	0.9734
HNRNPK	U2AF1L5	0.9734
U2AF1L5	ZC3H11A	0.9733
B2M	KIR2DS4	0.9732
CSTF2T	U2AF1L5	0.9732
KIR2DS3	TYROBP	0.9732
RPL38	RPS4Y1	0.9732
RPS4Y1	UBA52	0.9732
BUD31	U2AF1L5	0.9731
PSMD13	SEM1	0.9731
CPSF1	U2AF1L5	0.973
EAF2	ELOC	0.973
FCGR2A	LILRA3	0.973
PSMD10	SEM1	0.973
BECN2	GPRASP1	0.9729
CPSF3	U2AF1L5	0.9729
CSTF1	U2AF1L5	0.9729
PRPF40A	U2AF1L5	0.9729
ELOC	SUPT16H	0.9728
GFRA2	SHANK3	0.9728
HNRNPU	U2AF1L5	0.9728
GALNT3	MUC19	0.9727
ASB1	ELOC	0.9726
CRNKL1	U2AF1L5	0.9726
U2AF1L5	UPF3B	0.9724
CCL3L1	CXCR3	0.9723
MISP	MISP3	0.9723
RPS4Y1	SEC61G	0.9723
CTR9	ELOC	0.9722
B3GNT3	MUC3B	0.9721
LSM6	U2AF1L5	0.972
LSM8	U2AF1L5	0.972
PHF5A	U2AF1L5	0.972
DLG4	SHANK3	0.9719
GALNT12	MUC3B	0.9719
MDFI	MDFIC2	0.9719
MDFIC	MDFIC2	0.9719
CSTF2	U2AF1L5	0.9718
GALNT4	MUC2	0.9718
LSM7	U2AF1L5	0.9718
ELOC	PSMB8	0.9717
FCGR2B	LILRA3	0.9717
GMNN	SEM1	0.9717
PSMD11	SEM1	0.9717
RBMX	RBMY1A1	0.9717
SEM1	SKP1	0.9717
LSM2	U2AF1L5	0.9716
LSM3	U2AF1L5	0.9716
LSM5	U2AF1L5	0.9716
SARNP	U2AF1L5	0.9716
FBXW7	WDR97	0.9715
MAD2L1	SEM1	0.9715
LSM4	U2AF1L5	0.9714
POLR2H	U2AF1L5	0.9714
RBM8A	U2AF1L5	0.9714
U2AF1L5	U2SURP	0.9714
APOBEC3G	ELOC	0.9713
GTF2F1	U2AF1L5	0.9713
RPS4Y1	SRP14	0.9713
RPS4Y1	SRP9	0.9712
SART1	U2AF1L5	0.9712
SEPTIN2	SEPTIN5	0.9712
EIF5	RPS4Y1	0.9711
KIR2DS1	TYROBP	0.9711
HLA-C	KIR2DS5	0.971
SNRPA	U2AF1L5	0.971
B3GNT3	MUC2	0.9709
CD2BP2	U2AF1L5	0.9709
SEM1	USP14	0.9709
ANAPC4	SEM1	0.9708
CBFB	ELOC	0.9707
GFRA1	SHANK3	0.9707
ELAVL2	U2AF1L5	0.9706
PSMC5	SEM1	0.9705
PSME2	SEM1	0.9704
SF3B6	U2AF1L5	0.9704
COPS8	ELOC	0.9703
DDX5	U2AF1L5	0.9703
RCC1L	TRUB2	0.9703
DDX23	U2AF1L5	0.9702
DDX39A	U2AF1L5	0.9702
U2AF1L5	WBP11	0.9702
CTDP1	ELOC	0.9701
EAF1	ELOC	0.9701
PSMB5	SEM1	0.9701
CPSF2	U2AF1L5	0.97
DHX38	U2AF1L5	0.97
EIF2S3B	EIF5	0.9699
HSPA8	U2AF1L5	0.9699
PPP2R2A	RPS4Y1	0.9699
PSMD8	SEM1	0.9699
SF3B4	U2AF1L5	0.9699
ALYREF	U2AF1L5	0.9698
HLA-DQA2	HLA-DRB4	0.9698
NUDT21	U2AF1L5	0.9698
U2AF1L5	WDR33	0.9698
EIF4A2	RPS4Y1	0.9697
EIF1AX	EIF2S3B	0.9696
PQBP1	U2AF1L5	0.9696
SNRPB	U2AF1L5	0.9696
SUGP1	U2AF1L5	0.9696
GSG1	GSG1L2	0.9695
SNRPG	U2AF1L5	0.9695
DDX46	U2AF1L5	0.9694
REELD1	RELN	0.9694
THOC5	U2AF1L5	0.9694
BCAS2	U2AF1L5	0.9693
CDC20	SEM1	0.9693
ELOC	PSME1	0.9693
RPS4Y1	SMG1	0.9693
SNRPD3	U2AF1L5	0.9693
THOC2	U2AF1L5	0.9693
EIF2S3B	EIF3A	0.9692
HLA-E	KIR2DS4	0.9692
SNRNP40	U2AF1L5	0.9692
SNRPD2	U2AF1L5	0.9692
SNU13	U2AF1L5	0.9692
DDX39B	U2AF1L5	0.9691
GALNT3	MUC2	0.9691
KIR2DS5	ULBP2	0.9691
ANGPTL8	GPIHBP1	0.969
DHX15	U2AF1L5	0.969
GRSF1	RPS4Y1	0.969
PRPF4	U2AF1L5	0.969
RPS27A	SEM1	0.969
SMNDC1	U2AF1L5	0.969
DHX16	U2AF1L5	0.9689
GRK2	OR4E1	0.9689
GRK3	OR4E1	0.9689
IQGAP1	SEPTIN2	0.9689
MAGOH	U2AF1L5	0.9689
MAGOHB	U2AF1L5	0.9689
NUB1	SEM1	0.9689
ELOC	SOCS5	0.9688
GALNT8	MUC3B	0.9688
PLRG1	U2AF1L5	0.9688
PPIH	U2AF1L5	0.9688
SNRNP200	U2AF1L5	0.9688
SNRPD1	U2AF1L5	0.9688
